right_upper_arm_start_x,right_upper_arm_start_y,right_upper_arm_end_x,right_upper_arm_end_y,right_forearm_start_x,right_forearm_start_y,right_forearm_end_x,right_forearm_end_y,left_upper_arm_start_x,left_upper_arm_start_y,left_upper_arm_end_x,left_upper_arm_end_y,left_forearm_start_x,left_forearm_start_y,left_forearm_end_x,left_forearm_end_y,right_quad_start_x,right_quad_start_y,right_quad_end_x,right_quad_end_y,right_calf_start_x,right_calf_start_y,right_calf_end_x,right_calf_end_y,left_quad_start_x,left_quad_start_y,left_quad_end_x,left_quad_end_y,left_calf_start_x,left_calf_start_y,left_calf_end_x,left_calf_end_y
182,49,228,84,228,84,229,115,75,50,48,85,48,85,25,116,163,117,174,172,174,172,196,224,88,116,62,169,62,169,63,223
182,49,228,84,228,84,229,115,75,50,48,86,48,86,25,116,163,117,174,172,174,172,196,225,88,116,62,170,62,170,63,223
182,49,228,84,228,84,229,115,75,50,48,86,48,86,25,116,163,117,174,172,174,172,196,225,88,116,62,169,62,169,63,223
183,49,227,84,227,84,229,115,75,50,48,86,48,86,26,116,163,117,173,172,173,172,196,225,88,116,62,169,62,169,62,223
182,49,227,84,227,84,229,115,74,50,47,85,47,85,25,116,162,117,173,172,173,172,196,225,87,116,62,169,62,169,62,223
182,49,227,84,227,84,229,115,74,50,47,85,47,85,25,117,162,117,173,172,173,172,196,224,87,116,62,169,62,169,61,223
182,49,227,84,227,84,229,115,74,50,47,85,47,85,25,117,162,117,173,172,173,172,196,224,87,116,61,169,61,169,61,223
182,49,227,84,227,84,229,115,75,50,47,85,47,85,25,117,162,117,173,171,173,171,196,224,87,116,62,169,62,169,61,222
182,49,227,84,227,84,229,115,74,50,46,85,46,85,25,117,162,117,173,172,173,172,196,224,87,116,61,169,61,169,61,223
182,49,227,84,227,84,229,115,75,50,47,85,47,85,26,117,162,117,173,171,173,171,196,224,87,116,61,169,61,169,61,223
182,49,227,84,227,84,229,115,75,49,47,85,47,85,26,116,162,117,173,171,173,171,196,224,87,116,61,169,61,169,61,222
180,49,226,83,226,83,234,113,73,50,48,85,48,85,25,116,160,116,172,172,172,172,196,225,86,116,62,169,62,169,62,223
172,48,220,80,220,80,231,112,71,50,46,84,46,84,20,114,155,116,167,171,167,171,192,225,85,115,59,169,59,169,61,222
151,45,204,70,204,70,230,93,60,48,34,77,34,77,17,100,133,112,149,169,149,169,169,220,71,113,59,169,59,169,57,219
146,44,195,65,195,65,231,81,57,47,25,79,25,79,22,94,130,111,145,169,145,169,164,222,70,113,59,169,59,169,58,218
138,43,176,68,176,68,212,77,61,47,35,79,35,79,18,78,123,112,138,170,138,170,156,223,70,113,59,168,59,168,57,217
136,43,170,74,170,74,200,75,61,47,32,82,32,82,16,71,121,112,135,169,135,169,155,222,69,113,56,168,56,168,55,217
145,45,173,82,173,82,203,77,58,47,24,84,24,84,31,69,125,112,143,169,143,169,165,221,64,114,51,169,51,169,48,217
181,47,210,88,210,88,209,75,67,47,53,85,53,85,111,77,155,115,175,170,175,170,211,221,69,115,49,170,49,170,47,218
194,46,229,86,229,86,199,72,70,46,72,84,72,84,144,73,166,117,181,169,181,169,215,221,73,117,44,168,44,168,44,217
191,44,229,82,229,82,200,74,70,49,66,87,66,87,129,77,163,114,173,169,173,169,190,220,75,115,52,171,52,171,40,219
185,41,229,74,229,74,191,66,76,45,56,81,56,81,125,73,159,110,169,165,169,165,177,217,82,111,65,169,65,169,42,217
188,38,232,65,232,65,187,59,76,45,43,75,43,75,100,75,158,108,167,165,167,165,169,218,82,110,68,168,68,168,43,215
198,36,230,43,230,43,212,35,85,46,44,63,44,63,92,59,169,108,181,165,181,165,173,215,93,110,82,159,82,159,45,194
199,36,225,36,225,36,209,24,90,49,41,62,41,62,62,57,170,110,176,166,176,166,176,217,97,111,94,150,94,150,51,177
201,33,222,26,222,26,208,13,93,47,45,53,45,53,43,48,175,107,180,163,180,163,176,211,102,108,88,144,88,144,43,168
194,32,229,27,229,27,219,21,86,45,32,53,32,53,39,50,179,103,187,158,187,158,173,208,108,105,95,146,95,146,43,178
193,31,228,28,228,28,205,24,84,44,32,55,32,55,28,60,190,101,196,159,196,159,179,209,118,103,106,149,106,149,56,183
186,31,224,39,224,39,190,43,71,48,30,73,30,73,48,85,198,102,204,159,204,159,180,213,123,106,126,154,126,154,73,192
175,41,220,57,220,57,196,68,56,52,26,81,26,81,29,101,196,109,207,165,207,165,182,216,115,112,122,166,122,166,83,212
164,45,218,77,218,77,188,106,50,54,31,88,31,88,19,115,175,115,186,169,186,169,161,216,100,118,110,174,110,174,83,222
155,47,219,75,219,75,204,105,42,55,25,85,25,85,19,113,158,115,170,168,170,168,152,217,85,118,96,173,96,173,77,222
157,44,222,71,222,71,208,98,42,51,26,79,26,79,32,107,156,114,176,164,176,164,167,206,80,117,91,173,91,173,75,218
156,45,222,73,222,73,208,100,42,50,24,77,24,77,32,104,149,114,166,164,166,164,164,203,74,117,81,173,81,173,73,217
151,43,220,70,220,70,212,96,42,48,24,78,24,78,25,107,140,114,157,165,157,165,154,208,70,116,79,173,79,173,74,220
164,42,225,63,225,63,194,82,58,49,23,74,23,74,35,99,149,112,159,164,159,164,158,206,82,115,86,175,86,175,86,221
173,43,225,62,225,62,198,70,68,49,21,73,21,73,39,89,155,116,163,168,163,168,154,214,89,119,99,177,99,177,96,226
177,38,229,56,229,56,198,61,74,46,20,67,20,67,58,65,154,110,163,159,163,159,154,196,89,116,90,177,90,177,92,219
179,38,229,57,229,57,199,60,71,43,20,63,20,63,69,58,147,107,156,153,156,153,150,189,79,111,77,173,77,173,87,216
182,38,226,58,226,58,196,64,73,41,19,61,19,61,72,61,147,103,153,149,153,149,149,190,78,108,74,169,74,169,88,219
