right_upper_arm_start_x,right_upper_arm_start_y,right_upper_arm_end_x,right_upper_arm_end_y,right_forearm_start_x,right_forearm_start_y,right_forearm_end_x,right_forearm_end_y,left_upper_arm_start_x,left_upper_arm_start_y,left_upper_arm_end_x,left_upper_arm_end_y,left_forearm_start_x,left_forearm_start_y,left_forearm_end_x,left_forearm_end_y,right_quad_start_x,right_quad_start_y,right_quad_end_x,right_quad_end_y,right_calf_start_x,right_calf_start_y,right_calf_end_x,right_calf_end_y,left_quad_start_x,left_quad_start_y,left_quad_end_x,left_quad_end_y,left_calf_start_x,left_calf_start_y,left_calf_end_x,left_calf_end_y
215,46,211,66,211,66,171,55,155,41,88,54,88,54,35,66,222,119,226,176,226,176,227,225,179,117,159,173,159,173,133,228
215,45,213,67,213,67,168,53,152,40,82,59,82,59,31,75,223,119,225,176,225,176,229,226,178,116,156,173,156,173,130,228
217,49,222,78,222,78,174,58,141,41,75,67,75,67,35,95,214,120,220,176,220,176,230,225,160,116,143,173,143,173,118,230
118,43,59,76,59,76,26,109,187,45,225,78,225,78,221,105,138,118,151,173,151,173,166,228,174,118,151,173,151,173,128,229
169,41,217,69,217,69,231,101,58,45,35,80,35,80,43,114,147,117,161,172,161,172,172,224,71,118,55,173,55,173,51,225
138,38,193,60,193,60,228,88,53,44,48,79,48,79,69,110,114,113,126,171,126,171,142,223,55,115,37,172,37,172,29,223
118,36,176,50,176,50,225,68,48,42,61,72,61,72,101,99,93,111,101,170,101,170,116,225,43,113,33,171,33,171,29,224
106,34,168,38,168,38,219,45,44,43,66,72,66,72,115,90,80,109,89,170,89,170,103,226,36,113,29,173,29,173,29,226
139,42,199,53,199,53,246,56,63,45,103,67,103,67,180,77,111,116,131,174,131,174,152,226,54,117,48,176,48,176,43,228
101,36,162,38,162,38,216,42,40,44,64,71,64,71,119,79,78,112,94,172,94,172,109,226,34,115,29,173,29,173,26,224
107,36,163,50,163,50,217,63,41,42,50,73,50,73,101,87,84,111,95,170,95,170,108,226,37,114,29,172,29,172,25,223
126,40,176,61,176,61,223,85,45,42,35,73,35,73,69,98,104,113,115,170,115,170,127,223,49,115,39,170,39,170,34,220
176,41,210,71,210,71,225,101,70,42,25,74,25,74,26,107,153,116,166,171,166,171,183,223,81,116,69,172,69,172,65,224
215,41,223,76,223,76,200,105,123,38,57,61,57,61,21,89,205,114,213,171,213,171,226,223,142,113,127,171,127,171,110,225
215,42,203,77,203,77,161,100,148,38,85,52,85,52,33,67,218,115,224,173,224,173,233,224,170,114,152,173,152,173,129,228
215,41,186,70,186,70,124,83,154,35,87,40,87,40,28,45,219,118,224,173,224,173,228,225,175,116,159,174,159,174,129,229
212,42,179,67,179,67,115,67,155,36,90,38,90,38,31,34,220,117,226,174,226,174,226,223,178,114,162,173,162,173,137,227
214,43,183,67,183,67,123,67,151,36,81,37,81,37,22,31,220,116,224,174,224,174,227,228,174,114,158,174,158,174,133,231
217,40,198,69,198,69,137,72,150,37,89,45,89,45,31,43,219,117,227,173,227,173,230,224,170,116,154,173,154,173,132,228
219,44,209,80,209,80,147,88,146,39,89,56,89,56,34,65,212,117,219,172,219,172,228,225,161,115,147,171,147,171,132,227
212,43,231,78,231,78,194,104,130,42,77,64,77,64,31,84,193,117,204,173,204,173,216,223,139,116,130,173,130,173,119,226
175,42,215,69,215,69,234,101,85,45,51,73,51,73,22,103,152,117,163,172,163,172,179,224,93,117,81,172,81,172,77,224
129,41,181,62,181,62,224,85,46,47,25,85,25,85,12,123,98,118,114,175,114,175,135,226,43,120,36,175,36,175,34,226
119,40,171,58,171,58,212,77,47,46,27,78,27,78,7,120,84,117,101,175,101,175,123,227,36,118,35,174,35,174,38,226
117,40,175,54,175,54,223,71,46,48,30,79,30,79,16,101,85,117,97,174,97,174,113,228,38,120,34,175,34,175,37,226
114,40,169,59,169,59,215,76,45,46,26,72,26,72,19,84,83,116,97,173,97,173,115,227,37,118,33,174,33,174,35,225
114,40,156,64,156,64,200,83,40,47,25,77,25,77,34,63,86,116,103,172,103,172,116,226,36,119,29,173,29,173,32,223
102,41,113,75,113,75,150,100,96,40,129,73,129,73,163,108,89,115,111,171,111,171,139,224,76,114,57,170,57,170,35,225
193,42,219,75,219,75,228,105,96,39,40,63,40,63,17,92,170,118,181,173,181,173,201,225,106,117,94,173,94,173,82,225
215,42,215,77,215,77,180,105,135,37,71,54,71,54,26,74,201,116,209,170,209,170,228,222,146,114,130,170,130,170,117,224
216,42,200,73,200,73,133,87,145,37,87,47,87,47,34,59,216,116,223,174,223,174,231,225,165,113,148,172,148,172,130,226
215,40,185,67,185,67,119,72,153,35,96,41,96,41,35,43,220,116,227,174,227,174,229,224,173,114,157,172,157,172,136,227
213,41,179,67,179,67,110,65,156,36,92,41,92,41,31,36,221,117,227,175,227,175,226,223,178,115,160,174,160,174,135,228
215,41,189,67,189,67,132,65,151,36,89,42,89,42,29,36,224,116,228,174,228,174,225,224,177,114,158,172,158,172,138,228
219,41,207,70,207,70,149,74,153,39,91,49,91,49,31,53,221,117,226,172,226,172,232,224,174,116,157,173,157,173,135,229
218,42,231,76,231,76,189,100,139,42,86,64,86,64,33,84,210,116,217,173,217,173,226,225,157,115,142,173,142,173,128,226
193,43,227,76,227,76,224,106,89,44,53,74,53,74,26,105,173,119,185,174,185,174,194,226,105,119,89,173,89,173,81,225
140,40,192,64,192,64,229,92,50,43,30,75,30,75,39,107,113,116,126,173,126,173,142,224,52,117,39,174,39,174,32,224
114,38,170,53,170,53,222,71,44,44,51,76,51,76,80,105,91,112,101,170,101,170,114,225,42,114,33,170,33,170,32,224
109,36,171,45,171,45,222,54,45,44,61,73,61,73,106,93,84,110,91,170,91,170,107,226,38,112,28,172,28,172,27,226
101,38,163,40,163,40,218,44,42,45,71,71,71,71,127,82,77,113,93,173,93,173,109,225,35,116,32,174,32,174,29,224
