right_upper_arm_start_x,right_upper_arm_start_y,right_upper_arm_end_x,right_upper_arm_end_y,right_forearm_start_x,right_forearm_start_y,right_forearm_end_x,right_forearm_end_y,left_upper_arm_start_x,left_upper_arm_start_y,left_upper_arm_end_x,left_upper_arm_end_y,left_forearm_start_x,left_forearm_start_y,left_forearm_end_x,left_forearm_end_y,right_quad_start_x,right_quad_start_y,right_quad_end_x,right_quad_end_y,right_calf_start_x,right_calf_start_y,right_calf_end_x,right_calf_end_y,left_quad_start_x,left_quad_start_y,left_quad_end_x,left_quad_end_y,left_calf_start_x,left_calf_start_y,left_calf_end_x,left_calf_end_y
173,27,82,44,82,44,31,53,177,30,97,49,97,49,49,59,197,108,214,168,214,168,227,222,191,108,170,165,170,165,140,220
174,26,83,43,83,43,32,52,175,28,95,48,95,48,49,58,197,108,214,168,214,168,226,222,190,108,170,165,170,165,140,220
183,41,88,62,88,62,24,73,178,44,106,67,106,67,51,75,202,118,218,175,218,175,230,224,189,118,166,172,166,172,138,221
203,43,232,78,232,78,209,113,97,44,54,78,54,78,29,109,188,117,199,173,199,173,213,224,116,117,102,172,102,172,89,223
167,43,219,72,219,72,229,100,59,44,28,79,28,79,41,112,147,115,159,172,159,172,182,223,71,115,55,172,55,172,35,222
138,40,199,66,199,66,233,93,54,42,45,77,45,77,66,110,113,117,127,174,127,174,150,223,55,117,42,173,42,173,30,221
125,38,183,58,183,58,226,64,56,39,63,74,63,74,106,98,99,107,100,166,100,166,122,219,50,107,37,166,37,166,31,219
122,37,185,43,185,43,223,48,54,44,71,73,71,73,121,91,96,105,89,165,89,165,95,217,49,107,38,167,38,167,33,217
119,37,175,44,175,44,220,45,48,44,69,73,69,73,119,84,88,110,86,168,86,168,93,215,38,112,32,169,32,169,30,215
113,39,170,54,170,54,224,62,50,43,57,74,57,74,102,86,91,104,91,164,91,164,99,217,47,105,37,166,37,166,29,218
127,38,173,65,173,65,217,88,41,39,27,75,27,75,66,101,106,112,111,170,111,170,128,223,46,112,31,171,31,171,25,222
169,38,202,72,202,72,221,102,74,38,27,71,27,71,27,104,149,114,162,171,162,171,189,224,83,114,68,171,68,171,56,223
218,38,229,71,229,71,205,106,123,37,60,65,60,65,26,93,207,115,218,172,218,172,234,225,143,115,133,170,133,170,117,223
211,44,192,74,192,74,133,84,156,43,104,58,104,58,48,50,210,116,218,172,218,172,234,220,171,116,166,173,166,173,155,221
196,40,147,57,147,57,53,61,133,43,96,63,96,63,44,64,198,117,211,171,211,171,219,221,146,117,120,170,120,170,96,221
220,43,189,71,189,71,122,66,160,40,85,53,85,53,28,39,215,116,219,171,219,171,231,219,173,115,169,170,169,170,154,221
222,43,204,74,204,74,137,71,154,39,87,55,87,55,31,45,213,117,222,173,222,173,238,222,165,115,163,172,163,172,153,223
223,42,222,76,222,76,165,88,145,40,92,61,92,61,40,62,207,115,217,171,217,171,229,224,153,114,153,170,153,170,144,224
167,40,215,72,215,72,230,101,86,41,50,74,50,74,26,105,149,116,158,171,158,171,182,221,94,117,87,171,87,171,78,221
125,41,183,65,183,65,218,85,51,45,30,84,30,84,18,123,98,114,111,169,111,169,135,218,48,115,45,170,45,170,39,221
105,30,169,51,169,51,209,67,62,32,95,64,95,64,125,90,79,106,94,165,94,165,124,217,47,106,40,165,40,165,36,217
108,31,174,48,174,48,218,61,46,36,35,71,35,71,27,99,83,107,90,165,90,165,118,216,42,108,36,165,36,165,36,216
76,33,101,64,101,64,130,79,83,33,132,64,132,64,177,80,66,107,86,164,86,164,119,218,62,107,49,164,49,164,40,218
84,42,57,76,57,76,50,98,128,40,173,74,173,74,216,98,77,117,105,171,105,171,151,222,91,116,66,171,66,171,43,224
196,43,220,77,220,77,227,110,93,42,45,71,45,71,21,102,170,115,179,172,179,172,203,224,101,114,92,171,92,171,85,223
219,39,221,75,221,75,187,108,130,38,70,62,70,62,24,79,203,115,210,171,210,171,227,223,143,114,136,171,136,171,129,225
203,37,174,65,174,65,73,84,109,36,76,59,76,59,27,72,191,113,205,173,205,173,220,224,118,112,98,170,98,170,81,221
193,38,151,61,151,61,43,66,117,41,96,74,96,74,62,91,204,118,210,173,210,173,225,222,144,118,117,170,117,170,95,219
219,42,196,72,196,72,130,66,152,39,76,49,76,49,18,37,217,116,215,173,215,173,230,219,172,114,173,173,173,173,166,221
223,44,216,75,216,75,154,80,157,41,88,58,88,58,26,52,215,115,220,169,220,169,236,222,170,114,167,169,167,169,152,221
214,41,227,73,227,73,191,99,134,40,91,65,91,65,43,81,204,112,214,170,214,170,224,224,150,111,146,168,146,168,134,222
189,41,225,73,225,73,224,104,86,42,48,75,48,75,29,108,174,116,185,172,185,172,205,224,103,116,92,171,92,171,81,222
126,40,188,69,188,69,225,95,48,43,33,80,33,80,43,115,114,115,124,171,124,171,149,223,59,116,47,170,47,170,35,221
