right_upper_arm_start_x,right_upper_arm_start_y,right_upper_arm_end_x,right_upper_arm_end_y,right_forearm_start_x,right_forearm_start_y,right_forearm_end_x,right_forearm_end_y,left_upper_arm_start_x,left_upper_arm_start_y,left_upper_arm_end_x,left_upper_arm_end_y,left_forearm_start_x,left_forearm_start_y,left_forearm_end_x,left_forearm_end_y,right_quad_start_x,right_quad_start_y,right_quad_end_x,right_quad_end_y,right_calf_start_x,right_calf_start_y,right_calf_end_x,right_calf_end_y,left_quad_start_x,left_quad_start_y,left_quad_end_x,left_quad_end_y,left_calf_start_x,left_calf_start_y,left_calf_end_x,left_calf_end_y
132,43,189,72,189,72,232,103,33,46,24,77,24,77,79,98,100,111,113,166,113,166,127,219,34,112,34,169,34,169,42,221
127,43,181,69,181,69,221,98,30,47,28,78,28,78,94,90,96,111,106,165,106,165,116,218,31,113,28,168,28,168,42,218
121,43,177,67,177,67,224,94,31,46,34,74,34,74,100,81,91,111,99,166,99,166,111,218,30,113,27,169,27,169,41,217
120,42,178,66,178,66,225,91,32,47,38,74,38,74,100,75,89,111,98,166,98,166,109,218,29,113,26,169,26,169,40,217
121,42,180,66,180,66,225,91,32,46,40,73,40,73,105,74,91,111,99,166,99,166,109,218,31,114,26,169,26,169,40,218
124,45,179,71,179,71,225,99,28,47,32,76,32,76,106,83,99,113,106,167,106,167,113,221,34,115,28,170,28,170,39,220
137,45,185,75,185,75,231,103,34,47,29,77,29,77,103,91,116,113,120,169,120,169,128,221,47,115,38,173,38,173,41,223
152,46,195,76,195,76,229,109,39,48,25,79,25,79,89,96,136,115,142,171,142,171,143,222,60,117,51,174,51,174,50,223
180,47,214,79,214,79,228,110,49,48,18,81,18,81,74,103,173,115,177,172,177,172,172,221,86,117,65,175,65,175,60,223
200,47,226,79,226,79,208,104,58,47,17,81,17,81,53,109,196,115,198,171,198,171,192,220,100,116,73,173,73,173,67,224
205,46,220,74,220,74,195,86,85,47,40,83,40,83,30,114,205,115,203,171,203,171,201,221,123,116,97,171,97,171,90,223
206,46,221,74,221,74,196,85,89,48,45,84,45,84,28,115,205,116,203,172,203,172,200,221,126,116,102,172,102,172,96,224
208,46,224,74,224,74,193,86,82,48,40,84,40,84,30,115,203,115,206,172,206,172,201,221,117,116,96,172,96,172,88,223
202,46,227,73,227,73,207,91,64,48,19,82,19,82,25,113,194,114,198,169,198,169,201,219,99,115,73,171,73,171,68,223
200,46,229,81,229,81,198,106,57,46,23,81,23,81,54,111,181,114,190,170,190,170,191,220,83,114,70,172,70,172,66,223
174,45,216,76,216,76,233,108,47,46,37,79,37,79,104,103,145,111,159,168,159,168,167,220,58,112,52,169,52,169,53,220
