right_upper_arm_start_x,right_upper_arm_start_y,right_upper_arm_end_x,right_upper_arm_end_y,right_forearm_start_x,right_forearm_start_y,right_forearm_end_x,right_forearm_end_y,left_upper_arm_start_x,left_upper_arm_start_y,left_upper_arm_end_x,left_upper_arm_end_y,left_forearm_start_x,left_forearm_start_y,left_forearm_end_x,left_forearm_end_y,right_quad_start_x,right_quad_start_y,right_quad_end_x,right_quad_end_y,right_calf_start_x,right_calf_start_y,right_calf_end_x,right_calf_end_y,left_quad_start_x,left_quad_start_y,left_quad_end_x,left_quad_end_y,left_calf_start_x,left_calf_start_y,left_calf_end_x,left_calf_end_y
185,48,229,85,229,85,228,119,86,48,55,84,55,84,23,116,170,117,164,172,164,172,200,226,102,116,71,167,71,167,92,219
185,48,229,85,229,85,228,119,86,48,55,84,55,84,23,116,170,117,164,172,164,172,200,226,102,116,71,167,71,167,92,219
188,49,233,87,233,87,229,120,84,50,48,87,48,87,19,118,172,118,165,173,165,173,199,227,102,117,73,170,73,170,97,223
181,51,231,94,231,94,230,130,67,51,28,93,28,93,19,129,161,116,163,170,163,170,181,221,86,117,78,174,78,174,94,230
179,51,226,94,226,94,233,129,71,51,30,93,30,93,19,130,160,114,162,164,162,164,173,213,91,115,88,171,88,171,98,227
181,46,215,85,215,85,232,117,99,46,53,84,53,84,23,118,164,107,169,158,169,158,174,207,112,108,110,166,110,166,108,223
175,47,205,83,205,83,228,114,102,46,54,78,54,78,21,108,160,109,163,160,163,160,166,213,114,110,111,165,111,165,109,223
172,44,200,74,200,74,226,97,105,43,62,73,62,73,24,91,158,111,158,166,158,166,161,220,115,111,113,166,113,166,112,222
173,43,197,63,197,63,226,79,106,42,59,63,59,63,23,74,156,113,158,172,158,172,160,225,115,113,115,168,115,168,119,220
171,43,200,54,200,54,228,59,104,42,54,58,54,58,19,65,154,115,154,173,154,173,155,227,113,115,112,169,112,169,118,221
167,39,202,45,202,45,229,48,101,40,55,54,55,54,21,58,150,111,150,167,150,167,148,222,110,111,110,167,110,167,114,223
